Latitude,Longitude,AQI
29.863957,-94.317802,30.0
29.900314,-90.109836,22.727272727272727
29.901036,-95.326137,28.75
29.922894,-93.909018,24.82758620689655
29.943164,-89.97625,20.4
29.996013,-90.11819,27.1
30.041238,-90.272826,18.0
30.135797,-81.633981,24.1
30.194167,-93.866944,23.96551724137931
30.219101,-91.062552,24.3
30.22611,-92.042908,24.7
30.227798,-93.579965,18.8
30.262778,-81.606833,38.67741935483871
30.263204,-97.712891,31.29032258064516
30.300833,-89.395916,27.580645161290324
30.35386,-97.69166,34.22222222222222
30.354722,-81.547778,21.25
30.378287,-88.53393,34.0
30.390369,-89.049778,32.064516129032256
30.439722,-84.346389,24.5
30.461981,-91.179219,30.18032786885246
30.497478,-87.880258,28.375
30.500642,-91.213556,27.419354838709676
30.503287,-90.377212,20.066666666666666
30.525367,-87.20355,28.416666666666668
30.770181,-88.087761,29.3
30.8486,-83.2933,26.5
31.169805,-81.495035,27.555555555555557
31.177824,-92.410746,18.9
31.224783,-85.390789,28.4
31.32389,-89.2922,32.6
31.337204,-110.936718,52.52777777777778
31.3492,-109.539683,21.387096774193548
31.513097,-82.749971,21.3
31.5776,-84.0998,36.65079365079365
31.765685,-106.455227,48.774193548387096
31.768286,-106.501243,37.5
31.787885,-106.683324,24.548387096774192
31.796218,-106.584434,26.444444444444443
31.870259,-102.334745,24.82758620689655
32.003712,-106.599715,28.289473684210527
32.090779,-81.130222,37.03225806451613
32.110679,-81.161823,27.037037037037038
32.29515,-110.9823,21.305555555555557
32.322037,-106.768337,18.29032258064516
32.322661,-111.038389,26.88235294117647
32.329111,-90.182722,35.51282051282051
32.346722,-90.225667,31.096774193548388
32.412811,-86.263394,28.0
32.4297,-84.9316,29.1
32.437028,-84.999653,29.80392156862745
32.471819,-93.795179,29.363636363636363
32.482083,-97.026899,12.333333333333334
32.4842,-84.9789,33.6
32.509959,-92.046196,22.7
32.521272,-84.944635,32.2
32.6056,-83.5978,35.45
32.631242,-117.059088,29.142857142857142
32.664753,-97.337917,25.2
32.669001,-94.167468,24.25
32.67618,-115.48307,58.34615384615385
32.690278,-114.61444,29.483870967741936
32.726656,-103.122917,23.0
32.759154,-97.342332,27.444444444444443
32.774262,-96.797686,34.22222222222222
32.777465,-83.640996,28.333333333333332
32.789565,-116.944308,43.19230769230769
32.790984,-79.958694,26.967741935483872
32.79222,-115.56306,33.0
32.805264,-83.543493,25.585365853658537
32.80581,-97.356529,26.2
32.820061,-96.860117,35.65909090909091
32.845709,-117.123964,21.933333333333334
32.877583,-111.752222,28.51219512195122
32.884761,-112.03705,28.52173913043478
32.967359,-82.806871,22.0
32.97833,-115.53917,39.625
32.980254,-80.06501,28.129032258064516
33.139471,-91.939208,25.7
33.189931,-87.484189,25.2
33.220563,-92.672263,29.1
33.284928,-85.803608,21.166666666666668
33.331111,-87.003611,26.866666666666667
33.362593,-117.09023,37.333333333333336
33.39623,-111.96799,40.38709677419355
33.40314,-112.07526,49.193548387096776
33.41018,-111.86536,33.193548387096776
33.41123,-111.93471,35.645161290322584
33.421194,-111.503222,15.555555555555555
33.4265,-112.11821,49.58064516129032
33.4339,-82.0224,37.38709677419355
33.436111,-94.07778,29.772727272727273
33.447867,-117.088649,12.21875
33.48378,-112.14256,53.60606060606061
33.488131,-111.855443,17.8
33.499722,-86.924167,26.2
33.503833,-112.095767,46.8780487804878
33.521427,-86.844112,30.6
33.545278,-86.549167,26.2
33.553056,-86.815,36.5
33.56031,-112.06619,38.483870967741936
33.57453,-112.19193,39.83870967741935
33.58553,-101.78698,18.962962962962962
33.610845,-84.390717,29.6
