"PM25","lon","lat"
5.55408129032258,-78.68713,39.94669
5.65382774193548,-79.4089,39.94678
8.11925387096774,-76.07689,39.95229
6.07557870967742,-77.38206,39.95668
8.40285451612903,-75.49323,39.95745
7.27059387096774,-74.32578,39.95914
9.08047322580645,-74.90952,39.95973
6.60792161290323,-80.26978,39.96241
5.90297096774194,-78.1039,39.9647
6.03826838709677,-79.54784,39.96757
9.04576548387097,-76.7985,39.96826
5.71705322580645,-78.82586,39.96833
8.58855612903226,-76.21477,39.97697
6.78656741935484,-77.52039,39.97984
6.76174064516129,-80.409,39.98219
8.7969664516129,-75.63091,39.98281
9.88348548387097,-75.04698,39.98577
7.03152741935484,-74.46303,39.98586
6.15722774193548,-78.24248,39.98702
6.87418516129032,-79.68687,39.9882
6.05224258064516,-78.96467,39.98981
7.33755225806452,-76.93665,39.9921
8.76503,-76.35274,40.0015
8.05364161290323,-77.65881,40.00284
8.53451096774194,-75.76868,40.00801
7.20593612903226,-79.82599,40.00867
6.64224935483871,-78.38115,40.00918
6.54850741935484,-79.10357,40.01112
9.98402387096774,-75.18455,40.01165
7.85804580645161,-74.60037,40.01242
7.17171516129032,-77.07491,40.01579
6.15598774193548,-77.79733,40.02568
8.35236774193548,-76.49081,40.02586
7.51484290322581,-79.96518,40.02897
7.09787419354839,-78.51991,40.03118
5.81347322580645,-79.24255,40.03228
8.01494741935484,-75.90656,40.03305
8.96688032258065,-75.32222,40.03737
7.66078483870968,-74.15343,40.03738
8.60590612903226,-74.73783,40.03881
6.59916290322581,-77.21325,40.03931
5.93622677419355,-77.93593,40.04836
7.18397225806452,-80.10446,40.04911
8.35657612903226,-76.62897,40.05006
5.83136129032258,-78.65875,40.05301
6.02216935483871,-79.38162,40.05326
8.39548419354839,-76.04453,40.05793
6.31720677419355,-77.35169,40.06267
8.81984741935484,-75.45999,40.06293
7.28269193548387,-74.29077,40.06429
9.64977129032258,-74.87539,40.06505
7.27256677419355,-80.24381,40.06909
5.8572735483871,-78.07462,40.07088
6.61762451612903,-79.52078,40.07409
8.44199483870968,-76.76723,40.0741
